0.0128192	71962.3	-13375.9	-19929.4
0.017748	75777.8	14530.9	11578.3
0.0226729	60218.2	44540.5	24992.
0.027668	62066.3	46359.3	80.4671
0.0326359	56650.6	35159.4	-19716.5
0.0376044	43674.4	18416.9	-5534.05
0.0426046	40272.2	11795.8	842.471
0.0475961	38100.3	3991.26	1318.35
0.0525942	34370.	6257.75	-828.042
0.057583	31071.8	2857.19	3083.04
0.0625683	29570.8	11277.5	5961.6
0.0675546	26931.3	13245.9	5525.26
0.0725619	25271.8	11295.3	-605.633
0.0775603	23113.5	10441.4	-193.079
0.0825458	20308.4	6336.07	-1752.26
0.0875447	18756.2	5322.42	-1255.57
0.0925535	17789.4	5486.87	1435.66
0.097557	15795.3	4873.45	1787.61
0.102539	15684.1	3865.79	632.415
0.107528	14309.2	4710.32	4.96829
0.112544	12923.2	4742.42	-193.681
0.117554	12597.2	2917.14	412.613
0.122543	12112.8	3712.01	1669.64
0.127537	11619.4	3543.3	1286.36
0.132544	11556.7	3500.71	1316.58
0.137539	10451.	3217.26	753.376
0.142529	9684.8	2347.59	294.694
0.147528	9304.13	2672.78	777.619
0.152531	8952.55	2287.14	-201.527
0.157524	8556.14	1817.72	-282.887
0.162526	7875.9	2183.38	145.038
0.16753	7596.3	1909.14	218.815
0.172522	7063.21	1651.25	172.606
0.177524	6987.17	1510.81	1436.5
0.182527	6746.89	892.049	1452.37
0.187522	6645.71	1227.06	905.648
0.192519	6330.46	849.003	586.46
0.197525	5999.99	950.525	987.615
0.202525	5697.66	1556.18	567.471
0.207514	5515.89	1591.99	372.511
0.212513	5344.8	1099.47	169.955
0.217519	5128.73	838.761	306.216
0.222521	5041.22	1052.5	965.366
0.227521	4700.34	1047.19	806.237
0.232516	4537.11	872.048	102.647
0.237516	4544.27	764.403	7.07125
0.242519	4404.79	758.685	137.034
0.247517	4390.09	698.549	431.497
