1.000000000000000715e-02 2.163613270837425807e+04 1.554193217525887849e+04 1.378993640433115843e+03
1.125335582600766118e-02 2.252008724480668025e+04 1.618941953818734328e+04 1.434300785207426770e+03
1.266380173467403572e-02 2.322856503305222577e+04 1.670155716642374318e+04 1.476981146122106111e+03
1.425102670302998663e-02 2.371134148137731245e+04 1.704023317886494624e+04 1.503600788386212798e+03
1.603718743751331513e-02 2.391775130452057056e+04 1.716730062763371097e+04 1.510798047039552102e+03
1.804721766827172003e-02 2.379826404136517522e+04 1.704576397096408618e+04 1.495377105974147071e+03
2.030917620904737139e-02 2.331782286216539069e+04 1.665019456265059489e+04 1.455333515486799797e+03
2.285463864134991419e-02 2.245461944126084563e+04 1.596569140843240166e+04 1.389711628347220540e+03
2.571913809059346578e-02 2.122644990634937130e+04 1.500796517386018786e+04 1.300475781716527081e+03
2.894266124716753097e-02 1.968039746598365309e+04 1.381515519345032953e+04 1.191667261417436521e+03
3.257020655659784852e-02 1.792658276079184725e+04 1.247207709516198884e+04 1.071361359991521795e+03
3.665241237079629177e-02 1.610695304398532608e+04 1.108644084606315300e+04 9.495034414043268498e+02
4.124626382901354360e-02 1.438071051379738856e+04 9.774827800518436561e+03 8.360401213879684974e+02
4.641588833612782239e-02 1.289473583394483285e+04 8.641888814845109664e+03 7.394362090650824939e+02
5.223345074266844829e-02 1.171258681814056399e+04 7.726914231046556779e+03 6.618681388428053651e+02
5.878016072274914322e-02 1.078109741915085397e+04 6.985327959724700122e+03 5.988256427695683897e+02
6.614740641230153206e-02 9.912436112699177102e+03 6.285654139049852347e+03 5.405685707279836834e+02
7.443803013251693024e-02 8.868800026029635774e+03 5.480119961116019113e+03 4.792074172961150680e+02
8.376776400682922619e-02 7.568701963084781710e+03 4.542140968628092196e+03 4.173967031142984183e+02
9.426684551178854399e-02 6.245736977455519991e+03 3.637964202920350544e+03 3.669990690142942640e+02
1.060818355139448999e-01 5.258708082679777363e+03 2.963996763087761792e+03 3.329371261021005921e+02
1.193776641714437287e-01 4.667767371039792124e+03 2.506987190585220560e+03 3.057135644937278585e+02
1.343399332598900764e-01 4.141482895943488984e+03 2.094316154983855085e+03 2.827377061119398149e+02
1.511775070615662409e-01 3.475662460502087015e+03 1.686782384999141641e+03 2.742819043725919528e+02
1.701254279852589535e-01 2.934352598963371292e+03 1.364411678162366115e+03 2.689194698668971455e+02
1.914481976169959132e-01 2.588224721960208171e+03 1.094986083517937459e+03 2.571887425273868075e+02
2.154434690031884481e-01 2.237747729301814161e+03 8.883495352238235228e+02 2.550590286893599341e+02
2.424462017082328891e-01 1.949969759072097531e+03 7.171167086689144980e+02 2.517272224004576913e+02
2.728333376486768991e-01 1.722783853241631959e+03 5.649398172408851906e+02 2.465478807308098510e+02
3.070290629757851386e-01 1.528532061056455859e+03 4.500447571315778532e+02 2.409800140646946431e+02
3.455107294592220657e-01 1.370613765843847432e+03 3.482780393280866633e+02 2.339155835562293362e+02
3.888155180308088821e-01 1.239283521869489050e+03 2.628329857647486847e+02 2.247460706894551947e+02
4.375479375074186605e-01 1.130190778436771325e+03 1.884605056950206858e+02 2.135377391567119219e+02
4.923882631706741897e-01 1.039177472603231081e+03 1.226982695419306708e+02 2.007025057662603729e+02
5.541020330009495121e-01 9.628108928313447450e+02 6.390625655952079143e+01 1.864830010704815493e+02
6.235507341273914816e-01 8.986115660071101274e+02 1.133268639236493591e+01 1.714154145404728808e+02
7.017038286703829453e-01 8.444882631672372781e+02 -3.565663763065894898e+01 1.559173933365138964e+02
7.896522868499730174e-01 7.986243767124516353e+02 -7.777657591887420097e+01 1.402872669440700690e+02
8.886238162743401725e-01 7.599356297603321764e+02 -1.148591543505574322e+02 1.249419060999455269e+02
1.000000000000000000e+00 7.273723153366848919e+02 -1.471021081754658724e+02 1.101354740275293835e+02
